Running in CPU mode	
Epoch 1.86 / 50, i = 306 / 17800, loss = 2.234783	
Epoch 1.86 / 50, i = 307 / 17800, loss = 2.268618	
Epoch 1.87 / 50, i = 308 / 17800, loss = 2.267681	
Epoch 1.87 / 50, i = 309 / 17800, loss = 2.216694	
Epoch 1.87 / 50, i = 310 / 17800, loss = 2.202120	
Epoch 1.87 / 50, i = 311 / 17800, loss = 2.232340	
Epoch 1.88 / 50, i = 312 / 17800, loss = 2.221046	
Epoch 1.88 / 50, i = 313 / 17800, loss = 2.213000	
Epoch 1.88 / 50, i = 314 / 17800, loss = 2.213133	
Epoch 1.88 / 50, i = 315 / 17800, loss = 2.190453	
Epoch 1.89 / 50, i = 316 / 17800, loss = 2.180844	
Epoch 1.89 / 50, i = 317 / 17800, loss = 2.222472	
Epoch 1.89 / 50, i = 318 / 17800, loss = 2.209772	
Epoch 1.90 / 50, i = 319 / 17800, loss = 2.219199	
Epoch 1.90 / 50, i = 320 / 17800, loss = 2.236371	
Epoch 1.90 / 50, i = 321 / 17800, loss = 2.204780	
Epoch 1.90 / 50, i = 322 / 17800, loss = 2.246798	
Epoch 1.91 / 50, i = 323 / 17800, loss = 2.220187	
Epoch 1.91 / 50, i = 324 / 17800, loss = 2.183094	
Epoch 1.91 / 50, i = 325 / 17800, loss = 2.212172	
Epoch 1.92 / 50, i = 326 / 17800, loss = 2.248078	
Epoch 1.92 / 50, i = 327 / 17800, loss = 2.214402	
Epoch 1.92 / 50, i = 328 / 17800, loss = 2.205422	
Epoch 1.92 / 50, i = 329 / 17800, loss = 2.203225	
Epoch 1.93 / 50, i = 330 / 17800, loss = 2.184281	
Epoch 1.93 / 50, i = 331 / 17800, loss = 2.256375	
Epoch 1.93 / 50, i = 332 / 17800, loss = 2.194000	
Epoch 1.94 / 50, i = 333 / 17800, loss = 2.241126	
Epoch 1.94 / 50, i = 334 / 17800, loss = 2.232447	
Epoch 1.94 / 50, i = 335 / 17800, loss = 2.185745	
Epoch 1.94 / 50, i = 336 / 17800, loss = 2.208565	
Epoch 1.95 / 50, i = 337 / 17800, loss = 2.168363	
Epoch 1.95 / 50, i = 338 / 17800, loss = 2.224168	
Epoch 1.95 / 50, i = 339 / 17800, loss = 2.179994	
Epoch 1.96 / 50, i = 340 / 17800, loss = 2.192835	
Epoch 1.96 / 50, i = 341 / 17800, loss = 2.207026	
Epoch 1.96 / 50, i = 342 / 17800, loss = 2.190108	
Epoch 1.96 / 50, i = 343 / 17800, loss = 2.173019	
Epoch 1.97 / 50, i = 344 / 17800, loss = 2.244316	
Epoch 1.97 / 50, i = 345 / 17800, loss = 2.165907	
Epoch 1.97 / 50, i = 346 / 17800, loss = 2.272690	
Epoch 1.97 / 50, i = 347 / 17800, loss = 2.169553	
Epoch 1.98 / 50, i = 348 / 17800, loss = 2.181917	
Epoch 1.98 / 50, i = 349 / 17800, loss = 2.224450	
Epoch 1.98 / 50, i = 350 / 17800, loss = 2.173863	
Epoch 1.99 / 50, i = 351 / 17800, loss = 2.157534	
Epoch 1.99 / 50, i = 352 / 17800, loss = 2.173746	
Epoch 1.99 / 50, i = 353 / 17800, loss = 2.167028	
Epoch 1.99 / 50, i = 354 / 17800, loss = 2.204058	
Epoch 2.00 / 50, i = 355 / 17800, loss = 2.175201	
Epoch 2.00 / 50, i = 356 / 17800, loss = 2.258370	
Epoch 2.00 / 50, i = 357 / 17800, loss = 2.266877	
Epoch 2.01 / 50, i = 358 / 17800, loss = 2.155315	
Epoch 2.01 / 50, i = 359 / 17800, loss = 2.152549	
Epoch 2.01 / 50, i = 360 / 17800, loss = 2.150878	
Epoch 2.01 / 50, i = 361 / 17800, loss = 2.189054	
Epoch 2.02 / 50, i = 362 / 17800, loss = 2.176002	
Epoch 2.02 / 50, i = 363 / 17800, loss = 2.193503	
Epoch 2.02 / 50, i = 364 / 17800, loss = 2.156152	
Epoch 2.03 / 50, i = 365 / 17800, loss = 2.191495	
Epoch 2.03 / 50, i = 366 / 17800, loss = 2.199270	
Epoch 2.03 / 50, i = 367 / 17800, loss = 2.156182	
Epoch 2.03 / 50, i = 368 / 17800, loss = 2.134175	
Epoch 2.04 / 50, i = 369 / 17800, loss = 2.157679	
Epoch 2.04 / 50, i = 370 / 17800, loss = 2.156712	
Epoch 2.04 / 50, i = 371 / 17800, loss = 2.215288	
Epoch 2.04 / 50, i = 372 / 17800, loss = 2.217240	
Epoch 2.05 / 50, i = 373 / 17800, loss = 2.158221	
Epoch 2.05 / 50, i = 374 / 17800, loss = 2.161949	
Epoch 2.05 / 50, i = 375 / 17800, loss = 2.161223	
Epoch 2.06 / 50, i = 376 / 17800, loss = 2.148320	
Epoch 2.06 / 50, i = 377 / 17800, loss = 2.123081	
Epoch 2.06 / 50, i = 378 / 17800, loss = 2.152393	
Epoch 2.06 / 50, i = 379 / 17800, loss = 2.130942	
Epoch 2.07 / 50, i = 380 / 17800, loss = 2.126046	
Epoch 2.07 / 50, i = 381 / 17800, loss = 2.192125	
Epoch 2.07 / 50, i = 382 / 17800, loss = 2.133298	
Epoch 2.08 / 50, i = 383 / 17800, loss = 2.135529	
Epoch 2.08 / 50, i = 384 / 17800, loss = 2.133273	
Epoch 2.08 / 50, i = 385 / 17800, loss = 2.135471	
Epoch 2.08 / 50, i = 386 / 17800, loss = 2.153709	
Epoch 2.09 / 50, i = 387 / 17800, loss = 2.135563	
Epoch 2.09 / 50, i = 388 / 17800, loss = 2.158696	
Epoch 2.09 / 50, i = 389 / 17800, loss = 2.126401	
Epoch 2.10 / 50, i = 390 / 17800, loss = 2.152291	
Epoch 2.10 / 50, i = 391 / 17800, loss = 2.093115	
Epoch 2.10 / 50, i = 392 / 17800, loss = 2.158047	
Epoch 2.10 / 50, i = 393 / 17800, loss = 2.188231	
Epoch 2.11 / 50, i = 394 / 17800, loss = 2.171273	
Epoch 2.11 / 50, i = 395 / 17800, loss = 2.142437	
Epoch 2.11 / 50, i = 396 / 17800, loss = 2.110954	
Epoch 2.12 / 50, i = 397 / 17800, loss = 2.146236	
Epoch 2.12 / 50, i = 398 / 17800, loss = 2.062843	
Epoch 2.12 / 50, i = 399 / 17800, loss = 2.100889	
